rhea_id	rhea_label	predicate_id	go_id	go_label	evidence_type	evidence_detail	confidence
RHEA:21396	(S)-methylmalonyl-CoA + Na(+)(in) + H(+)(out) = propanoyl-CoA + Na(+)(out) + CO2	skos:closeMatch	GO:0015451	decarboxylation-driven active transmembrane transporter activity	ec_match	Shared EC: 7.2.4.3; stereoisomer_mismatch	high
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0043865	methionine transmembrane transporter activity	ec_match	Shared EC: 7.4.2.11; mapped_to_parent_without_mechanism	high
RHEA:29879	L-arginine(out) + ATP + H2O = L-arginine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0015426	ATPase-coupled polar amino acid-transporter activity	ec_match	Shared EC: 7.4.2.1; substrate_match	high
RHEA:29883	L-ornithine(out) + ATP + H2O = L-ornithine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0015426	ATPase-coupled polar amino acid-transporter activity	ec_match	Shared EC: 7.4.2.1; substrate_match	high
RHEA:29887	L-lysine(out) + ATP + H2O = L-lysine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0015426	ATPase-coupled polar amino acid-transporter activity	ec_match	Shared EC: 7.4.2.1; substrate_match	high
RHEA:43336	N(6)-carboxybiotinyl-L-lysyl-[protein] + n Na(+)(in) + H(+) = N(6)-biotinyl-L-lysyl-[protein] + n Na(+)(out) + CO2	skos:closeMatch	GO:0015451	decarboxylation-driven active transmembrane transporter activity	ec_match	Shared EC: 7.2.4.1; stereoisomer_mismatch	high
RHEA:21396	(S)-methylmalonyl-CoA + Na(+)(in) + H(+)(out) = propanoyl-CoA + Na(+)(out) + CO2	skos:exactMatch	GO:0015081	sodium ion transmembrane transporter activity	substrate_match	Shared EC: 7.2.4.3; mapped_to_parent_without_mechanism	medium
RHEA:21396	(S)-methylmalonyl-CoA + Na(+)(in) + H(+)(out) = propanoyl-CoA + Na(+)(out) + CO2	skos:closeMatch	GO:0043250	sodium-dependent organic anion transmembrane transporter activity	substrate_match	Shared EC: 7.2.4.3; stereoisomer_mismatch	medium
RHEA:21396	(S)-methylmalonyl-CoA + Na(+)(in) + H(+)(out) = propanoyl-CoA + Na(+)(out) + CO2	skos:closeMatch	GO:0015347	sodium-independent organic anion transmembrane transporter activity	substrate_match	Shared EC: 7.2.4.3; stereoisomer_mismatch	medium
RHEA:21396	(S)-methylmalonyl-CoA + Na(+)(in) + H(+)(out) = propanoyl-CoA + Na(+)(out) + CO2	skos:closeMatch	GO:0046932	sodium-transporting ATP synthase activity, rotational mechanism	substrate_match	Shared EC: 7.2.4.3; stereoisomer_mismatch	medium
RHEA:21396	(S)-methylmalonyl-CoA + Na(+)(in) + H(+)(out) = propanoyl-CoA + Na(+)(out) + CO2	skos:closeMatch	GO:0046962	sodium-transporting ATPase activity, rotational mechanism	substrate_match	Shared EC: 7.2.4.3; stereoisomer_mismatch	medium
RHEA:21396	(S)-methylmalonyl-CoA + Na(+)(in) + H(+)(out) = propanoyl-CoA + Na(+)(out) + CO2	skos:closeMatch	GO:0008523	sodium-dependent multivitamin transmembrane transporter activity	substrate_match	Shared EC: 7.2.4.3; stereoisomer_mismatch	medium
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0000064	L-ornithine transmembrane transporter activity	substrate_match	Shared EC: 7.4.2.11; substrate_match	medium
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0005314	high-affinity L-glutamate transmembrane transporter activity	substrate_match	Shared EC: 7.4.2.11; substrate_match	medium
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:closeMatch	GO:0000100	S-methylmethionine transmembrane transporter activity	substrate_match	Shared EC: 7.4.2.11; stereoisomer_mismatch	medium
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0015180	L-alanine transmembrane transporter activity	substrate_match	Shared EC: 7.4.2.11; substrate_match	medium
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0042943	D-amino acid transmembrane transporter activity	substrate_match	Shared EC: 7.4.2.11; substrate_match	medium
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0015426	ATPase-coupled polar amino acid-transporter activity	substrate_match	Shared EC: 7.4.2.11; substrate_match	medium
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0015175	neutral L-amino acid transmembrane transporter activity	substrate_match	Shared EC: 7.4.2.11; substrate_match	medium
